task_id,executability,validity,correctness,strategic_success,wall_time_seconds
tech_01_hard_tpsa,1.0,1.0,1.0,0.0,3.484
tech_01_hard_logp,1.0,1.0,1.0,0.0,3.515
tech_01_hard_mw,1.0,1.0,1.0,0.0,3.453
tech_01_mw,1.0,1.0,1.0,0.0,1.266
tech_02_hard_indole,1.0,1.0,1.0,0.0,1.703
tech_03_hard_similarity,1.0,1.0,0.89,0.0,1.297
tech_04_hard_format,1.0,1.0,1.0,0.0,1.312
tech_06_hard_target_id,1.0,1.0,0.75,0.0,1.281
tech_07_easy_acetate,1.0,1.0,1.0,0.0,1.469
tech_07_easy_trimethylammonium,1.0,1.0,1.0,0.0,1.25
tech_07_hard_aceticacid,1.0,1.0,0.0,0.0,1.219
tech_07_hard_citrate,1.0,1.0,1.0,0.0,1.281
tech_07_hard_nitrobenzene,1.0,1.0,1.0,0.0,1.25
tech_07_medium_glycine,1.0,1.0,1.0,0.0,1.281
tech_07_medium_hard_benzoate,1.0,1.0,1.0,0.0,1.297
tech_07_medium_hard_imidazole,1.0,1.0,1.0,0.0,1.282
tech_07_medium_hard_pyridinium,1.0,1.0,1.0,0.0,1.375
tech_07_medium_lysine,1.0,1.0,1.0,0.0,1.281
